160-62778973,BKK,HKG, Manifest received,CX654 01 Aug
160-62778962,BKK,HKG, Manifest received,CX704 31 Jul
160-62778951,BKK,HKG, Manifest received,CX654 31 Jul
160-62778925,BKK,CKG, Manifest received,CX704 05 Aug
160-62778844,BKK,HKG, Manifest received,CX654 05 Aug
160-62778800,BKK,HKG, Delivered, 10 Jul
160-62778763,BKK,HKG, Manifest received,CX654 31 Jul
160-62778752,BKK,HKG, Delivered, 03 Aug
160-62778730,BKK,HKG, Manifest received,CX704 22 Jul
160-62778726,BKK,HKG, Delivered, 18 Jul
160-62778693,BKK,HKG, Manifest received,CX654 16 Jul
160-62778660,CGO,LHR, Delivered, 24 Jul
160-62778656,CGO,HKG, Delivered, 22 Jul
160-62778575,CGO,LHR, Delivered, 25 Jul
160-62777072,CGO,LHR, Delivered, 10 Jul
160-62777061,CGO,LHR, Delivered, 10 Jul
160-62776991,CGO,LHR, Delivered, 10 Jul
160-62776980,CGO,LHR, Delivered, 10 Jul
