160-62778973,BKK,HKG, Manifest received,CX654 01 Aug
160-62778962,BKK,HKG, Manifest received,CX704 31 Jul
160-62778951,BKK,HKG, Manifest received,CX654 31 Jul
160-62778925,BKK,CKG, Manifest received,CX704 05 Aug
160-62778844,BKK,HKG, Manifest received,CX654 05 Aug
160-62778800,BKK,HKG, Delivered, 10 Jul
160-62778763,BKK,HKG, Manifest received,CX654 31 Jul
160-62778752,BKK,HKG, Delivered, 03 Aug
160-62778730,BKK,HKG, Manifest received,CX704 22 Jul
160-62778726,BKK,HKG, Delivered, 18 Jul
160-62778693,BKK,HKG, Manifest received,CX654 16 Jul
160-62778660,CGO,LHR, Delivered, 24 Jul
160-62778656,CGO,HKG, Delivered, 22 Jul
160-62778575,CGO,LHR, Delivered, 25 Jul
160-62777072,CGO,LHR, Delivered, 10 Jul
160-62777061,CGO,LHR, Delivered, 10 Jul
160-62776991,CGO,LHR, Delivered, 10 Jul
160-62776980,CGO,LHR, Delivered, 10 Jul
160-62776965,CGO,LHR, Delivered, 10 Jul
160-62776895,CGO,LHR, Delivered, 10 Jul
160-62776884,CGO,LHR, Delivered, 10 Jul
160-62776781,CGO,LHR, Delivered, 07 Jul
160-62776722,CGO,HKG, Delivered, 06 Jul
160-62776696,CGO,LHR, Delivered, 07 Jul
160-62776641,CGO,JFK, Freight accepted at airport,CX094 09 Jul
160-62768786,SGN,HKG, Delivered, 07 Aug
160-62768775,SGN,HKG, Delivered, 06 Aug
160-62768764,SGN,HKG, Delivered, 05 Aug
160-62768742,SGN,HKG, Delivered, 04 Aug
160-62768731,SGN,HKG, Delivered, 04 Aug
160-62768720,SGN,HKG, Delivered, 04 Aug
160-62768694,SGN,HKG, Delivered, 30 Jul
160-62768683,SGN,HKG, Delivered, 02 Aug
160-62768672,SGN,HKG, Delivered, 02 Aug
160-62768646,SGN,HKG, Freight accepted at airport,CX764 28 Jul
160-62768565,SGN,HKG, Delivered, 27 Jul
160-62768554,SGN,HKG, Delivered, 27 Jul
160-62768532,SGN,HKG, Freight accepted at airport,CX764 25 Jul
160-62768521,SGN,HKG, Delivered, 26 Jul
160-62768506,SGN,HKG, Delivered, 28 Jul
160-62768451,SGN,HKG, Delivered, 22 Jul
160-62768436,SGN,HKG, Delivered, 21 Jul
160-62768414,SGN,HKG, Delivered, 22 Jul
160-62768403,SGN,HKG, Delivered, 22 Jul
160-62768381,SGN,HKG, Delivered, 22 Jul
160-62768322,SGN,HKG, Delivered, 16 Jul
160-62768311,SGN,HKG, Freight on hand,CX766 18 Jul
160-62768296,SGN,HKG, Delivered, 19 Jul
160-62768285,SGN,HKG, Delivered, 17 Jul
160-62768274,SGN,HKG, Delivered, 17 Jul
160-62768263,SGN,HKG, Delivered, 16 Jul
160-62768252,SGN,HKG, Delivered, 16 Jul
160-62768241,SGN,HKG, Delivered, 15 Jul
160-62768230,SGN,HKG, Delivered, 15 Jul
160-62768226,SGN,HKG, Delivered, 14 Jul
160-62768215,SGN,HKG, Freight accepted at airport,CX766 13 Jul
160-62768204,SGN,HKG, Delivered, 13 Jul
160-62768156,SGN,HKG, Delivered, 14 Jul
160-62768145,SGN,HKG, Delivered, 14 Jul
160-62768101,SGN,HKG, Delivered, 12 Jul
160-62768090,SGN,HKG, Delivered, 11 Jul
160-62768086,SGN,HKG, Delivered, 11 Jul
160-62768075,SGN,HKG, Delivered, 12 Jul
160-62768064,SGN,HKG, Delivered, 12 Jul
160-62768053,SGN,HKG, Delivered, 12 Jul
160-62768042,SGN,HKG, Delivered, 12 Jul
160-62768031,SGN,HKG, Delivered, 12 Jul
160-62768020,SGN,HKG, Delivered, 09 Jul
160-62768016,SGN,HKG, Delivered, 10 Jul
160-62768005,SGN,HKG, Delivered, 08 Jul
160-62767994,SGN,HKG, Delivered, 08 Jul
160-62767983,SGN,HKG, Delivered, 07 Jul
160-62767972,SGN,HKG, Delivered, 07 Jul
160-62767961,SGN,HKG, Delivered, 06 Jul
160-62767876,SGN,HKG, Delivered, 05 Jul
160-62767865,SGN,HKG, Delivered, 05 Jul
160-62767854,SGN,HKG, Delivered, 05 Jul
160-62767843,SGN,HKG, Delivered, 03 Jul
160-62767832,SGN,HKG, Delivered, 03 Jul
160-62767821,SGN,HKG, Delivered, 03 Jul
